127.0.0.1 - - [23/Mar/2021:00:54:50 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Mar/2021:00:54:52 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/Mar/2021:00:54:54 +0530] "GET /Student_Record_Management/adminLogin.jsp HTTP/1.1" 200 1295
0:0:0:0:0:0:0:1 - - [23/Mar/2021:00:54:59 +0530] "POST /Student_Record_Management/adminLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2021:00:54:59 +0530] "GET /Student_Record_Management/adminHome.jsp HTTP/1.1" 200 44421
0:0:0:0:0:0:0:1 - - [23/Mar/2021:00:55:04 +0530] "GET /Student_Record_Management/adminLogin.jsp HTTP/1.1" 200 1295
0:0:0:0:0:0:0:1 - - [23/Mar/2021:01:10:34 +0530] "GET /Student_Record_Management/adminLogin.jsp HTTP/1.1" 200 1295
0:0:0:0:0:0:0:1 - - [23/Mar/2021:01:36:54 +0530] "POST /Student_Record_Management/adminLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2021:01:36:54 +0530] "GET /Student_Record_Management/errorAdminLogin.html HTTP/1.1" 200 1339
0:0:0:0:0:0:0:1 - - [23/Mar/2021:01:39:19 +0530] "POST /Student_Record_Management/adminLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2021:01:39:19 +0530] "GET /Student_Record_Management/adminHome.jsp HTTP/1.1" 200 44421
0:0:0:0:0:0:0:1 - - [23/Mar/2021:01:39:34 +0530] "GET /Student_Record_Management/adminLogin.jsp HTTP/1.1" 200 1295
0:0:0:0:0:0:0:1 - - [23/Mar/2021:01:39:37 +0530] "GET /Student_Record_Management/adminLogin.jsp HTTP/1.1" 200 1295
0:0:0:0:0:0:0:1 - - [23/Mar/2021:01:39:43 +0530] "POST /Student_Record_Management/adminLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2021:01:39:43 +0530] "GET /Student_Record_Management/adminHome.jsp HTTP/1.1" 200 44421
0:0:0:0:0:0:0:1 - - [23/Mar/2021:01:50:56 +0530] "POST /Student_Record_Management/addNewStudent.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2021:01:50:56 +0530] "GET /Student_Record_Management/newStudentSuccess.html HTTP/1.1" 200 489
0:0:0:0:0:0:0:1 - - [23/Mar/2021:02:21:02 +0530] "GET /Student_Record_Management/adminHome.jsp HTTP/1.1" 200 44684
